symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
CVX,JPM,1510,0.4935927593840507,0.4935927593840507,-2.5862203765268243,0.2424211988375029,-2.585416621984289,0.09604897005552271,2.7674392395869756,0.37051022866950595,0.5981194699111696,85.97678382351032,2.126529452551008,False,True
CVX,UPS,1510,0.3966682514698727,0.3966682514698727,-2.618455990896731,0.2294607786655969,-2.6176362377093096,0.08940672311290437,0.13992577125756434,0.9656873921345052,0.514891716951706,79.73220949318488,2.084589610814018,False,True
PEP,WMT,1510,0.39374898665029673,0.39374898665029673,-2.606930597309177,0.23404659867473854,-2.606448795507137,0.09167174406907008,2.2727928732386387,0.6667139406773475,0.6390113896003338,117.06085943308878,2.0622111586572602,False,True
MS,UPS,1510,0.4712469631024827,0.4712469631024827,-2.5566772462514233,0.2546605689930773,-2.555842002957971,0.10247151978945063,-3.5988780848126094,1.6229897707010026,0.59601885246043,93.21231558116436,2.0546820805857493,False,True
KO,WMT,1510,0.32274481782817693,0.32274481782817693,-2.5974383204713667,0.237863709719077,-2.596720200377388,0.09367703182151649,1.749763317878808,0.5538881809196989,0.7307597169311336,76.11910773032427,1.9747835084165275,False,True
KO,LOW,1510,0.24249056830626184,0.24249056830626184,-2.636616255016967,0.2231981467845986,-2.6352662847722645,0.08592526785644417,1.663050549515952,0.43784727001456925,0.7807463681495328,63.89160370982034,1.9596790893294644,False,True
HD,JPM,1510,0.48264635193901867,0.48264635193901867,-2.4653400965956958,0.29456522584839695,-2.4648274734816713,0.12426836041485084,0.5380836477283415,1.0100698644203618,0.8896360781940648,104.21445002379298,1.9191043076083152,False,True
JPM,V,1510,0.5021224136176112,0.5021224136176112,-2.438909082426279,0.3066550736033621,-2.437404491739491,0.13145630472270942,0.6418439352985854,0.7823223349014545,0.9143739874336901,90.93354125636853,1.896690839175264,False,True
CVX,MA,1510,0.39594879902262686,0.39594879902262686,-2.504243022444186,0.27720093421916286,-2.5034349660228887,0.11464079589948967,3.0472657067902693,0.26158946752129525,0.5637942237098903,87.8841295456795,1.893814916915464,False,True
HD,MA,1510,0.4977819892075872,0.4977819892075872,-2.426264372473878,0.31251857241172193,-2.42581568336401,0.1345822850998904,1.2104899599223748,0.7320249235405687,0.8835962688555052,119.0333197627308,1.8739182594242625,False,True
JPM,PEP,1510,0.288458809871514,0.288458809871514,-2.50413085330169,0.27725023639399893,-2.5035218758773405,0.11461976430372056,-3.099113246987197,1.6554008391641952,0.8052430286828625,96.57720724224016,1.7863273736852727,False,True
GS,UPS,1510,0.4725338580213161,0.4725338580213161,-2.360414402269051,0.34382528920242,-2.359633985023181,0.1534549257383,0.4953688622014676,1.0670357282211214,0.5261257248901737,94.37402109454058,1.7502152076816315,False,True
CVX,V,1510,0.37841131705617415,0.37841131705617415,-2.407008329358414,0.3215428843881045,-2.4062851732902786,0.13997031749410888,3.076799208345588,0.27383697482920677,0.4881172055565144,98.39983020592226,1.7251364660774144,False,True
CVX,MS,1510,0.45085121124369143,0.45085121124369143,-2.355753692674836,0.34608680769102473,-2.355042594040332,0.15482924677672494,2.721998771024913,0.4650879134570507,0.527818317048572,100.22324029019671,1.721813165275968,False,True
BAC,CVX,1510,0.4353291332148021,0.4353291332148021,-2.325791390424052,0.3607561779406222,-2.324834157508033,0.16408350027314722,-4.381860521754302,1.6788507199797678,0.6549328139782495,102.78894965800197,1.663050444158069,False,True
CVX,PEP,1510,0.2746317709291393,0.2746317709291393,-2.411101435625839,0.3196152511937501,-2.410419863268032,0.1388170510575999,1.8477273325957788,0.561049727574463,0.4030054125175898,102.4044717726727,1.6275614621250143,False,True
CVX,KO,1510,0.28007945044976174,0.28007945044976174,-2.4046513915373082,0.3226551408442378,-2.40386000138636,0.14064991442038915,1.618911465906955,0.7676181198226238,0.4553000803809245,95.94798124220445,1.6232013891133872,False,True
JPM,MA,1510,0.510519517255527,0.510519517255527,-2.237289904600222,0.4052254857255607,-2.2372234499341275,0.19301384574715486,0.8141847862674481,0.6937150480222515,0.9100281137125578,93.84416566545329,1.617234301742584,False,True
GS,JPM,1510,0.8212912621349286,0.8212912621349286,-1.9651306892334153,0.5466491087170393,-1.9644133239608412,0.302391202550344,3.3464370110494563,0.42201744402287217,0.6494372169934112,131.90980360514777,1.6030134656792911,False,True
LOW,WMT,1510,0.30936291078997497,0.30936291078997497,-2.3709539058069398,0.3387323557514911,-2.3704469594720408,0.1502518267139199,1.0725172125943092,0.9870762906102842,0.5698586739756555,131.08035276245212,1.602686467586712,False,True
JPM,KO,1510,0.2677518652023832,0.2677518652023832,-2.3775444639734675,0.3355628727660649,-2.3767542685590075,0.14840510943703594,-3.062944503959179,2.061217887924747,0.7534727689132,92.70279264262983,1.57052910793307,False,True
BAC,MS,1510,0.8373544889179594,0.8373544889179594,-1.8744109374862403,0.5929266462197442,-1.8736259873171475,0.3445681566512966,-1.4209163439712502,1.2550853740112273,0.8931686600231072,135.331057941478,1.5270783813319808,False,True
MA,PEP,1510,0.3558820404982462,0.3558820404982462,-2.2777798345303593,0.3846912717471522,-2.2778212604668346,0.17922085065131632,-5.279651712715317,2.3035854302276157,0.8245874087769982,98.21560823206434,1.5173811734569098,False,True
