Date,price_y,price_x,target_position,spread_position,weight_y,weight_x,return_y,return_x,gross_pair_return,cash_return,gross_exposure,net_exposure,short_notional,turnover_y,turnover_x,turnover,transaction_cost,borrow_cost,strategy_return,portfolio,drawdown,spread,zscore,target_event
2019-01-31,77.75482177734375,128.05035400390625,0.0,1.0,0.8022105569956678,-0.1977894430043322,0.04160447160558056,-0.018822974525947278,0.03709853198739508,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.03707533055117342,14314.550612103554,0.0,-0.04934622673917399,0.5144223972519611,Exit Long Spread
2019-02-01,78.26384735107422,132.9253692626953,0.0,0.0,0.0,-0.0,0.006546546723341429,0.03807107990221059,0.0,0.0,0.0,0.0,0.0,0.8022105569956678,0.1977894430043322,1.0,0.001,0.0,-0.001,14300.236061491449,-0.001000000000000112,-0.05203338026918192,0.4616170740360604,
2019-02-04,78.6253433227539,134.2057647705078,0.0,0.0,0.0,-0.0,0.0046189394454134725,0.00963243897620547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.049788641150662505,0.5022181735734447,
2019-02-05,79.42205810546875,135.18267822265625,0.0,0.0,0.0,-0.0,0.010133053148580373,0.007279221230317212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.04149481477756711,0.6578133771149732,
2019-02-06,80.27780151367188,134.1963653564453,0.0,0.0,0.0,-0.0,0.010774631489236075,-0.007296148287478155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.028972315728101217,0.8943145932099656,
2019-02-07,79.62862396240234,132.94432067871094,0.0,0.0,0.0,-0.0,-0.008086638386067047,-0.009329944774649879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.034780680629864724,0.7949627602576612,
2019-02-08,79.74662780761719,133.1435546875,0.0,0.0,0.0,-0.0,0.0014819274695812013,0.0014986274537485134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.03366906841473183,0.8151851394835747,
2019-02-11,80.35894012451172,133.54188537597656,0.0,0.0,0.0,-0.0,0.007678222060645501,0.0029917384240751854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.026756702303168067,0.9349978937209891,
2019-02-12,81.63519287109375,134.67051696777344,0.0,0.0,0.0,-0.0,0.01588190118740429,0.008451517579067369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.013074611022753535,1.1787407139199357,
2019-02-13,82.63111877441406,136.09320068359375,0.0,0.0,0.0,-0.0,0.01219971275002596,0.010564180994127703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.0035397102758809584,1.3368958439490504,
2019-02-14,82.47616577148438,136.01724243164062,0.0,0.0,0.0,-0.0,-0.0018752378671371694,-0.0005581340696786397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.00527905914859228,1.2916254601356876,
2019-02-15,81.79012298583984,137.67990112304688,0.0,0.0,0.0,-0.0,-0.008318073218211208,0.012223881779119816,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.01662751432753229,1.0857401264709332,
2019-02-19,81.71633911132812,137.2333526611328,0.0,0.0,0.0,-0.0,-0.0009021122822433503,-0.0032433816284845873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.016729060471670998,1.1002715566042358,
2019-02-20,81.9376449584961,137.5088653564453,0.0,0.0,0.0,-0.0,0.0027082202846417935,0.0020076219808811135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.014518994881634883,1.1390415417554987,
2019-02-21,82.44668579101562,136.8153076171875,0.0,0.0,0.0,-0.0,0.006212539215367574,-0.005043731089337422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.0070789675034328425,1.268394546412398,
2019-02-22,81.41388702392578,138.59197998046875,0.0,0.0,0.0,-0.0,-0.012526868207992758,0.012985917981140016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.022866097594578916,0.984247850087673,
2019-02-25,82.5003890991211,138.77252197265625,0.0,0.0,0.0,-0.0,0.013345414583583404,0.0013026871555839037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.009929924321352201,1.2277647900614197,
2019-02-26,82.63435363769531,139.70361328125,0.0,0.0,0.0,-0.0,0.0016238049303411994,0.006709478903735855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.009956170504228146,1.2400112439579372,
2019-02-27,82.70130920410156,139.87464904785156,0.0,0.0,0.0,-0.0,0.0008102630862196758,0.0012242758979843504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.009447902863213953,1.2700645274731366,
2019-02-28,82.00922393798828,140.729736328125,0.0,0.0,0.0,-0.0,-0.008368492261776161,0.006113239862220565,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.019354272182864785,1.1123027515673778,
2019-03-01,83.44551086425781,142.012451171875,0.0,0.0,0.0,-0.0,0.017513724155658217,0.009114739195980714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.004229255193681336,1.4363240497807355,
2019-03-04,82.21759796142578,140.57772827148438,0.0,0.0,0.0,-0.0,-0.014715146328596385,-0.010102796540383707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.016550175065086936,1.2350969581540339,
2019-03-05,81.83805847167969,140.56822204589844,0.0,0.0,0.0,-0.0,-0.004616280445509546,-6.762255801695538e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.021160470159297784,1.129213321049357,
2019-03-06,81.00457763671875,140.43521118164062,0.0,0.0,0.0,-0.0,-0.010184513788891625,-0.0009462370820509935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.031163790521431256,0.9300815099137126,
2019-03-07,79.52363586425781,139.5040740966797,0.0,0.0,0.0,-0.0,-0.018282198557994067,-0.006630367677210147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.047974976337093356,0.5975259531593649,
2019-03-08,79.38970184326172,139.99818420410156,0.0,0.0,0.0,-0.0,-0.0016842039418910604,0.003541904497208037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.05053233337051921,0.5419697843383442,
2019-03-11,80.98967742919922,143.15248107910156,0.0,0.0,0.0,-0.0,0.0201534399146166,0.0225309841904906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.03607276771777723,0.8095487955435251,
2019-03-12,81.12364959716797,144.15960693359375,0.0,0.0,0.0,-0.0,0.0016541881906599887,0.00703533635533482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.03614847393782017,0.7856122316624715,
2019-03-13,82.5003890991211,144.86273193359375,0.0,0.0,0.0,-0.0,0.016970877281650143,0.004877406472978851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.02051962152541642,1.054859425110679,
2019-03-14,82.51526641845703,146.50640869140625,0.0,0.0,0.0,-0.0,0.00018033029296460334,0.011346443187099098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.023121083761000083,0.9722922328775238,
2019-03-15,81.503173828125,147.7035675048828,0.0,0.0,0.0,-0.0,-0.01226551927008801,0.008171375055668673,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.03746895610334011,0.6719607347098497,
2019-03-18,82.37388610839844,147.22845458984375,0.0,0.0,0.0,-0.0,0.010683170229782712,-0.0032166651291165582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.026048082901241276,0.8623825561259687,
2019-03-19,82.12085723876953,146.87689208984375,0.0,0.0,0.0,-0.0,-0.003071712184319453,-0.0023878706122358873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.028535075748657324,0.7872856681965403,
2019-03-20,80.31249237060547,146.07887268066406,0.0,0.0,0.0,-0.0,-0.02202077436802896,-0.005433253644089531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.04945867549035632,0.3501981138119167,
2019-03-21,81.71156311035156,148.02659606933594,0.0,0.0,0.0,-0.0,0.017420337713963896,0.013333368151941416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.03545402466698189,0.6059433131037503,
2019-03-22,79.88832092285156,145.43276977539062,0.0,0.0,0.0,-0.0,-0.022313147834875036,-0.01752270445191051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.05366125748299222,0.19830138423974497,
2019-03-25,79.55342864990234,145.3947296142578,0.0,0.0,0.0,-0.0,-0.004192005403050425,-0.000261565266147068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.05779757517685424,0.08523723913240865,
2019-03-26,80.67713928222656,147.55152893066406,0.0,0.0,0.0,-0.0,0.014125231952847983,0.014834095583301954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.04740174091190674,0.2911992459969769,
2019-03-27,81.10132598876953,146.52537536621094,0.0,0.0,0.0,-0.0,0.0052578302889381145,-0.006954543757627385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.0404370133812233,0.42102242072877366,
2019-03-28,82.08365631103516,146.95294189453125,0.0,0.0,0.0,-0.0,0.012112383001008586,0.002918037420151176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.029115808860578296,0.6517752878705521,
2019-03-29,83.1552734375,148.39710998535156,0.0,0.0,0.0,-0.0,0.013055182659069464,0.00982741871106474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.236061491449,-0.001000000000000112,-0.01855628643526841,0.8664455696562887,
