zscore_lookback,entry_zscore,exit_zscore,stop_zscore,maximum_holding_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,trade_win_rate,profit_factor,total_turnover
20,2.0,0.25,3.5,40,-0.17748267060982048,-0.03207577886976265,0.10220651276364622,-0.2683444212861667,-0.3238534757048883,-0.3046307382664749,59,0.5254237288135594,0.7494068878412281,118.0
20,2.0,0.25,3.5,60,-0.17748267060982048,-0.03207577886976265,0.10220651276364622,-0.2683444212861667,-0.3238534757048883,-0.3046307382664749,59,0.5254237288135594,0.7494068878412281,118.0
20,2.0,0.25,4.0,40,-0.17748267060982048,-0.03207577886976265,0.10220651276364622,-0.2683444212861667,-0.3238534757048883,-0.3046307382664749,59,0.5254237288135594,0.7494068878412281,118.0
20,2.0,0.25,4.0,60,-0.17748267060982048,-0.03207577886976265,0.10220651276364622,-0.2683444212861667,-0.3238534757048883,-0.3046307382664749,59,0.5254237288135594,0.7494068878412281,118.0
40,2.0,0.5,3.5,20,-0.14627166396197555,-0.026042043684369243,0.0812355934984737,-0.2846033054770942,-0.27928642569950446,-0.23799703009860818,43,0.4883720930232558,0.7369672041295523,86.0
40,2.0,0.0,4.0,20,-0.15798360039072445,-0.02828432139264181,0.0840991091694734,-0.29950293935843186,-0.30524656557946245,-0.22987651051353364,37,0.4594594594594595,0.7078471593973558,74.0
40,2.0,0.25,4.0,20,-0.15681347265102852,-0.028059133453517293,0.08312419829356064,-0.30120879077855534,-0.3003744076606768,-0.22525797488522348,37,0.4864864864864865,0.7040625139030006,74.0
20,1.5,0.0,3.5,60,-0.22060813162608983,-0.04073475935022908,0.11515484523693445,-0.30385658537892524,-0.3806725817663159,-0.41709950195711887,75,0.5866666666666667,0.7516597777488497,151.0
20,1.5,0.0,4.0,60,-0.22060813162608983,-0.04073475935022908,0.11515484523693445,-0.30385658537892524,-0.3806725817663159,-0.41709950195711887,75,0.5866666666666667,0.7516597777488497,151.0
40,1.5,0.25,3.5,40,-0.2203183970146757,-0.04067526709460478,0.11229468581017871,-0.31397471500754953,-0.37629222705573284,-0.30606029509722,50,0.54,0.6665674193526411,101.0
40,2.0,0.0,3.5,20,-0.1669953142200511,-0.030027392727537516,0.08410702111333017,-0.32081629027691116,-0.33064395539903046,-0.23463076256743143,42,0.4523809523809524,0.7077102099860884,84.0
40,2.0,0.25,3.5,20,-0.1658377098187841,-0.029802608732334535,0.0831322158998469,-0.32277151604985865,-0.3256306445074515,-0.23004073883727472,42,0.47619047619047616,0.7041625392301728,84.0
20,1.5,0.0,3.5,40,-0.23137974788489657,-0.042959721074558144,0.11509879412378739,-0.32423631953653304,-0.4060066650578726,-0.425155501431536,75,0.5866666666666667,0.7409280771895773,151.0
20,1.5,0.0,4.0,40,-0.23137974788489657,-0.042959721074558144,0.11509879412378739,-0.32423631953653304,-0.4060066650578726,-0.425155501431536,75,0.5866666666666667,0.7409280771895773,151.0
